Date,Supplying_IU,Receiving_GU,Mode,Units_Dispatched,Unit_Type,Quantity_MT,Total_Cost_INR
2015-01-01,IU_Central_1,GU_Central_2,road,990,Trucks (30 MT),29700.0,4557323.57
2015-01-01,IU_Central_2,GU_Central_1,road,10052,Trucks (30 MT),301560.0,20974934.0
2015-01-01,IU_Central_2,GU_Central_2,road,10443,Trucks (30 MT),313290.0,32603046.0
2015-01-01,IU_Central_3,GU_Central_1,road,3637,Trucks (30 MT),109110.0,9674679.79
2015-01-01,IU_Central_3,GU_Central_3,road,11940,Trucks (30 MT),358200.0,16736468.57
2015-01-01,IU_East_1,GU_East_3,road,8042,Trucks (30 MT),241260.0,42656491.29
2015-01-01,IU_East_2,GU_East_1,road,12708,Trucks (30 MT),381240.0,25100115.43
2015-01-01,IU_East_2,GU_East_3,road,3483,Trucks (30 MT),104490.0,11595155.79
2015-01-01,IU_East_3,GU_East_2,road,13428,Trucks (30 MT),402840.0,24169440.86
2015-01-01,IU_North_1,GU_North_2,road,8689,Trucks (30 MT),260670.0,24082184.14
2015-01-01,IU_North_1,GU_North_3,road,15962,Trucks (30 MT),478860.0,21865659.71
2015-01-01,IU_North_2,GU_North_2,road,6764,Trucks (30 MT),202920.0,29413254.0
2015-01-01,IU_North_3,GU_North_1,road,17007,Trucks (30 MT),510210.0,18962805.0
2015-01-01,IU_South_1,GU_South_2,road,20386,Trucks (30 MT),611580.0,18509031.86
2015-01-01,IU_South_2,GU_South_1,road,15186,Trucks (30 MT),455580.0,14755368.43
2015-01-01,IU_South_2,GU_South_3,road,15345,Trucks (30 MT),460350.0,16131979.29
2015-01-01,IU_South_3,GU_South_1,road,3949,Trucks (30 MT),118470.0,15159364.79
2015-01-01,IU_West_1,GU_West_2,road,14164,Trucks (30 MT),424920.0,25268576.0
2015-01-01,IU_West_2,GU_West_3,road,13784,Trucks (30 MT),413520.0,53352941.14
2015-01-01,IU_West_3,GU_West_1,road,12559,Trucks (30 MT),376770.0,17204035.86
2015-02-01,IU_Central_1,GU_Central_2,road,498,Trucks (30 MT),14940.0,2307686.47
2015-02-01,IU_Central_2,GU_Central_1,road,6068,Trucks (30 MT),182040.0,12745781.99
2015-02-01,IU_Central_2,GU_Central_2,road,12043,Trucks (30 MT),361290.0,37847776.96
2015-02-01,IU_Central_3,GU_Central_1,road,5400,Trucks (30 MT),162000.0,14459718.86
2015-02-01,IU_Central_3,GU_Central_3,road,11976,Trucks (30 MT),359280.0,16898341.3
2015-02-01,IU_East_1,GU_East_3,road,12011,Trucks (30 MT),360330.0,64131739.3
2015-02-01,IU_East_2,GU_East_1,road,13978,Trucks (30 MT),419340.0,27791778.47
2015-02-01,IU_East_2,GU_East_3,road,4234,Trucks (30 MT),127020.0,14188835.63
2015-02-01,IU_East_3,GU_East_2,road,14906,Trucks (30 MT),447180.0,27007798.1
2015-02-01,IU_North_1,GU_North_2,road,417,Trucks (30 MT),12510.0,1163415.7
2015-02-01,IU_North_1,GU_North_3,road,18995,Trucks (30 MT),569850.0,26193128.11
2015-02-01,IU_North_2,GU_North_2,road,19083,Trucks (30 MT),572490.0,83533160.88
2015-02-01,IU_North_3,GU_North_1,road,16468,Trucks (30 MT),494040.0,18483683.2
2015-02-01,IU_South_1,GU_South_2,road,19062,Trucks (30 MT),571860.0,17421796.59
2015-02-01,IU_South_2,GU_South_1,road,7112,Trucks (30 MT),213360.0,6956186.24
2015-02-01,IU_South_2,GU_South_3,road,17659,Trucks (30 MT),529770.0,18687863.79
2015-02-01,IU_South_3,GU_South_1,road,12200,Trucks (30 MT),366000.0,47144006.86
2015-02-01,IU_West_1,GU_West_2,road,13115,Trucks (30 MT),393450.0,23552441.6
2015-02-01,IU_West_2,GU_West_3,road,15149,Trucks (30 MT),454470.0,59025524.81
2015-02-01,IU_West_3,GU_West_1,road,13205,Trucks (30 MT),396150.0,18209015.89
2015-03-01,IU_Central_1,GU_Central_2,road,3083,Trucks (30 MT),92490.0,13988495.9
2015-03-01,IU_Central_2,GU_Central_1,road,9276,Trucks (30 MT),278280.0,19077949.2
2015-03-01,IU_Central_2,GU_Central_2,road,9281,Trucks (30 MT),278430.0,28559493.2
2015-03-01,IU_Central_3,GU_Central_1,road,6008,Trucks (30 MT),180240.0,15752375.2
2015-03-01,IU_Central_3,GU_Central_3,road,11756,Trucks (30 MT),352680.0,16242089.6
2015-03-01,IU_East_1,GU_East_3,road,6367,Trucks (30 MT),191010.0,33287312.7
2015-03-01,IU_East_2,GU_East_1,road,11906,Trucks (30 MT),357180.0,23178600.8
2015-03-01,IU_East_2,GU_East_3,road,9178,Trucks (30 MT),275340.0,30115771.4
2015-03-01,IU_East_3,GU_East_2,road,15120,Trucks (30 MT),453600.0,26824392.0
2015-03-01,IU_North_1,GU_North_2,road,12797,Trucks (30 MT),383910.0,34958844.6
2015-03-01,IU_North_1,GU_North_3,road,16258,Trucks (30 MT),487740.0,21951551.6
2015-03-01,IU_North_2,GU_North_2,road,6560,Trucks (30 MT),196800.0,28116816.0
2015-03-01,IU_North_3,GU_North_1,road,17338,Trucks (30 MT),520140.0,19054462.0
2015-03-01,IU_South_1,GU_South_2,road,17905,Trucks (30 MT),537150.0,16023184.5
2015-03-01,IU_South_2,GU_South_1,road,10743,Trucks (30 MT),322290.0,10288571.1
2015-03-01,IU_South_2,GU_South_3,road,20792,Trucks (30 MT),623760.0,21544670.4
2015-03-01,IU_South_3,GU_South_1,road,8846,Trucks (30 MT),265380.0,33470610.2
2015-03-01,IU_West_1,GU_West_2,road,13390,Trucks (30 MT),401700.0,23544976.0
2015-03-01,IU_West_2,GU_West_3,road,13292,Trucks (30 MT),398760.0,50710309.2
2015-03-01,IU_West_3,GU_West_1,road,11632,Trucks (30 MT),348960.0,15705526.4
2015-04-01,IU_Central_1,GU_Central_2,road,897,Trucks (30 MT),26910.0,4282529.16
2015-04-01,IU_Central_2,GU_Central_1,road,7137,Trucks (30 MT),214110.0,15445324.44
2015-04-01,IU_Central_2,GU_Central_2,road,11121,Trucks (30 MT),333630.0,36008908.32
2015-04-01,IU_Central_3,GU_Central_1,road,5852,Trucks (30 MT),175560.0,16144731.68
2015-04-01,IU_Central_3,GU_Central_3,road,11876,Trucks (30 MT),356280.0,17264853.76
2015-04-01,IU_East_1,GU_East_3,road,9057,Trucks (30 MT),271710.0,49824006.12
2015-04-01,IU_East_2,GU_East_1,road,13582,Trucks (30 MT),407460.0,27822455.36
2015-04-01,IU_East_2,GU_East_3,road,2747,Trucks (30 MT),82410.0,9484511.96
2015-04-01,IU_East_3,GU_East_2,road,13620,Trucks (30 MT),408600.0,25425271.2
2015-04-01,IU_North_1,GU_North_2,road,4252,Trucks (30 MT),127560.0,12222288.96
2015-04-01,IU_North_1,GU_North_3,road,19018,Trucks (30 MT),570540.0,27019252.96
2015-04-01,IU_North_2,GU_North_2,road,12036,Trucks (30 MT),361080.0,54281878.56
2015-04-01,IU_North_3,GU_North_1,road,17147,Trucks (30 MT),514410.0,19828790.8
2015-04-01,IU_South_1,GU_South_2,road,17489,Trucks (30 MT),524670.0,16468341.96
2015-04-01,IU_South_2,GU_South_1,road,9951,Trucks (30 MT),298530.0,10027821.72
2015-04-01,IU_South_2,GU_South_3,road,18903,Trucks (30 MT),567090.0,20610318.96
2015-04-01,IU_South_3,GU_South_1,road,8390,Trucks (30 MT),251700.0,33403274.8
2015-04-01,IU_West_1,GU_West_2,road,11023,Trucks (30 MT),330690.0,20395195.52
2015-04-01,IU_West_2,GU_West_3,road,13017,Trucks (30 MT),390510.0,52254924.12
2015-04-01,IU_West_3,GU_West_1,road,11235,Trucks (30 MT),337050.0,15961789.2
2015-05-01,IU_Central_1,GU_Central_2,road,3302,Trucks (30 MT),99060.0,14968532.06
2015-05-01,IU_Central_2,GU_Central_1,road,7801,Trucks (30 MT),234030.0,16029717.69
2015-05-01,IU_Central_2,GU_Central_2,road,6486,Trucks (30 MT),194580.0,19940558.4
2015-05-01,IU_Central_3,GU_Central_1,road,3223,Trucks (30 MT),96690.0,8442694.54
2015-05-01,IU_Central_3,GU_Central_3,road,9928,Trucks (30 MT),297840.0,13704043.89
2015-05-01,IU_East_1,GU_East_3,road,7111,Trucks (30 MT),213330.0,37143191.06
2015-05-01,IU_East_2,GU_East_1,road,11710,Trucks (30 MT),351300.0,22776284.57
2015-05-01,IU_East_2,GU_East_3,road,4641,Trucks (30 MT),139230.0,15214656.6
2015-05-01,IU_East_3,GU_East_2,road,10443,Trucks (30 MT),313290.0,18510068.31
2015-05-01,IU_North_1,GU_North_2,road,4982,Trucks (30 MT),149460.0,13597443.77
2015-05-01,IU_North_1,GU_North_3,road,14681,Trucks (30 MT),440430.0,19804249.54
2015-05-01,IU_North_2,GU_North_2,road,8518,Trucks (30 MT),255540.0,36475779.6
2015-05-01,IU_North_3,GU_North_1,road,14930,Trucks (30 MT),447900.0,16393140.0
2015-05-01,IU_South_1,GU_South_2,road,15272,Trucks (30 MT),458160.0,13654477.03
2015-05-01,IU_South_2,GU_South_1,road,9678,Trucks (30 MT),290340.0,9260186.91
2015-05-01,IU_South_2,GU_South_3,road,11467,Trucks (30 MT),344010.0,11871293.66
2015-05-01,IU_South_3,GU_South_1,road,4976,Trucks (30 MT),149280.0,18810559.54
2015-05-01,IU_West_1,GU_West_2,road,12567,Trucks (30 MT),377010.0,22077705.6
2015-05-01,IU_West_2,GU_West_3,road,11295,Trucks (30 MT),338850.0,43052344.71
2015-05-01,IU_West_3,GU_West_1,road,11621,Trucks (30 MT),348630.0,15676396.97
2015-06-01,IU_Central_1,GU_Central_2,road,390,Trucks (30 MT),11700.0,1772767.29
