date,diesel_price_inr_liter,rail_freight_inr_ntkm
2015-01-01,55.75,1.665
2015-02-01,56.12,1.698
2015-03-01,54.95,1.663
2015-04-01,57.82,1.683
2015-05-01,54.9,1.678
2015-06-01,55.05,1.658
2015-07-01,56.26,1.412
2015-08-01,53.46,1.439
2015-09-01,54.68,1.456
2015-10-01,54.99,1.639
2015-11-01,58.7,1.663
2015-12-01,56.75,1.639
2016-01-01,55.98,1.67
2016-02-01,55.22,1.675
2016-03-01,56.2,1.662
2016-04-01,56.35,1.705
2016-05-01,57.38,1.646
2016-06-01,58.78,1.643
2016-07-01,58.01,1.411
2016-08-01,55.86,1.454
2016-09-01,59.11,1.453
2016-10-01,57.98,1.661
2016-11-01,56.08,1.653
2016-12-01,57.76,1.689
2017-01-01,59.12,1.77
2017-02-01,59.24,1.798
2017-03-01,57.88,1.818
2017-04-01,60.6,1.824
2017-05-01,57.94,1.799
2017-06-01,59.85,1.825
2017-07-01,58.78,1.566
2017-08-01,57.99,1.546
2017-09-01,61.02,1.597
2017-10-01,59.84,1.826
2017-11-01,60.64,1.793
2017-12-01,60.79,1.836
2018-01-01,65.75,1.837
2018-02-01,62.17,1.822
2018-03-01,66.53,1.8
2018-04-01,66.84,1.766
2018-05-01,66.67,1.813
2018-06-01,69.52,1.795
2018-07-01,66.39,1.56
2018-08-01,69.27,1.577
2018-09-01,67.41,1.58
2018-10-01,68.65,1.825
2018-11-01,67.75,1.799
2018-12-01,68.51,1.776
2019-01-01,69.84,1.949
2019-02-01,69.71,1.939
2019-03-01,67.88,1.935
2019-04-01,69.79,1.927
2019-05-01,70.36,1.952
2019-06-01,73.73,1.947
2019-07-01,71.59,1.689
2019-08-01,68.62,1.689
2019-09-01,71.89,1.739
2019-10-01,71.81,1.95
2019-11-01,72.35,1.92
2019-12-01,74.41,1.959
2020-01-01,83.19,1.925
2020-02-01,84.55,1.915
2020-03-01,83.78,1.987
2020-04-01,58.11,1.932
2020-05-01,59.95,1.933
2020-06-01,57.67,1.945
2020-07-01,83.11,1.699
2020-08-01,83.77,1.721
2020-09-01,84.43,1.684
2020-10-01,87.27,1.919
2020-11-01,86.84,1.97
2020-12-01,84.54,1.947
2021-01-01,87.79,2.097
2021-02-01,85.99,2.055
2021-03-01,89.08,2.087
2021-04-01,89.13,2.088
2021-05-01,88.18,2.086
2021-06-01,90.09,2.067
2021-07-01,92.9,1.819
2021-08-01,88.76,1.823
2021-09-01,89.54,1.826
2021-10-01,93.19,2.065
2021-11-01,93.35,2.09
2021-12-01,93.58,2.119
2022-01-01,92.43,2.066
2022-02-01,91.92,2.065
2022-03-01,93.58,2.088
2022-04-01,94.57,2.098
2022-05-01,94.62,2.111
2022-06-01,94.65,2.136
2022-07-01,96.44,1.793
2022-08-01,94.34,1.82
2022-09-01,96.06,1.824
2022-10-01,97.56,2.08
2022-11-01,96.03,2.051
2022-12-01,97.08,2.099
2023-01-01,98.52,2.195
2023-02-01,98.91,2.227
2023-03-01,97.77,2.223
2023-04-01,99.64,2.197
2023-05-01,100.54,2.231
2023-06-01,102.07,2.241
2023-07-01,98.83,1.911
2023-08-01,102.12,1.94
2023-09-01,102.57,2.007
2023-10-01,103.11,2.242
2023-11-01,104.13,2.233
2023-12-01,102.68,2.235
2024-01-01,102.44,2.215
2024-02-01,103.32,2.221
2024-03-01,105.0,2.182
2024-04-01,105.0,2.187
2024-05-01,104.69,2.241
2024-06-01,105.0,2.198
2024-07-01,105.0,1.944
2024-08-01,105.0,1.934
2024-09-01,105.0,1.917
2024-10-01,105.0,2.232
2024-11-01,105.0,2.223
2024-12-01,105.0,2.237
2025-01-01,105.0,2.355
2025-02-01,105.0,2.375
2025-03-01,105.0,2.351
2025-04-01,105.0,2.344
2025-05-01,105.0,2.366
2025-06-01,105.0,2.376
2025-07-01,105.0,2.071
2025-08-01,105.0,2.04
2025-09-01,105.0,2.036
2025-10-01,105.0,2.373
2025-11-01,105.0,2.356
2025-12-01,105.0,2.337
