date,gu_id,demand_mt
2015-01-01,GU_Central_1,410641
2015-02-01,GU_Central_1,344022
2015-03-01,GU_Central_1,458505
2015-04-01,GU_Central_1,389666
2015-05-01,GU_Central_1,330691
2015-06-01,GU_Central_1,203117
2015-07-01,GU_Central_1,176752
2015-08-01,GU_Central_1,155258
2015-09-01,GU_Central_1,203906
2015-10-01,GU_Central_1,257633
2015-11-01,GU_Central_1,350538
2015-12-01,GU_Central_1,420453
2016-01-01,GU_Central_1,390791
2016-02-01,GU_Central_1,477931
2016-03-01,GU_Central_1,494829
2016-04-01,GU_Central_1,399553
2016-05-01,GU_Central_1,301875
2016-06-01,GU_Central_1,232662
2016-07-01,GU_Central_1,240216
2016-08-01,GU_Central_1,237438
2016-09-01,GU_Central_1,248525
2016-10-01,GU_Central_1,342836
2016-11-01,GU_Central_1,414513
2016-12-01,GU_Central_1,405675
2017-01-01,GU_Central_1,553811
2017-02-01,GU_Central_1,565958
2017-03-01,GU_Central_1,550993
2017-04-01,GU_Central_1,554195
2017-05-01,GU_Central_1,435923
2017-06-01,GU_Central_1,327709
2017-07-01,GU_Central_1,265263
2017-08-01,GU_Central_1,274820
2017-09-01,GU_Central_1,278410
2017-10-01,GU_Central_1,380323
2017-11-01,GU_Central_1,375913
2017-12-01,GU_Central_1,516210
2018-01-01,GU_Central_1,544915
2018-02-01,GU_Central_1,518075
2018-03-01,GU_Central_1,780853
2018-04-01,GU_Central_1,560746
2018-05-01,GU_Central_1,451280
2018-06-01,GU_Central_1,417809
2018-07-01,GU_Central_1,259319
2018-08-01,GU_Central_1,314983
2018-09-01,GU_Central_1,273578
2018-10-01,GU_Central_1,405401
2018-11-01,GU_Central_1,555467
2018-12-01,GU_Central_1,572827
2019-01-01,GU_Central_1,571873
2019-02-01,GU_Central_1,713447
2019-03-01,GU_Central_1,742350
2019-04-01,GU_Central_1,521901
2019-05-01,GU_Central_1,540589
2019-06-01,GU_Central_1,362605
2019-07-01,GU_Central_1,257472
2019-08-01,GU_Central_1,286748
2019-09-01,GU_Central_1,368487
2019-10-01,GU_Central_1,434826
2019-11-01,GU_Central_1,494493
2019-12-01,GU_Central_1,547216
2020-01-01,GU_Central_1,664994
2020-02-01,GU_Central_1,681503
2020-03-01,GU_Central_1,714672
2020-04-01,GU_Central_1,464476
2020-05-01,GU_Central_1,361092
2020-06-01,GU_Central_1,252842
2020-07-01,GU_Central_1,325777
2020-08-01,GU_Central_1,364392
2020-09-01,GU_Central_1,358791
2020-10-01,GU_Central_1,440776
2020-11-01,GU_Central_1,603931
2020-12-01,GU_Central_1,574324
2021-01-01,GU_Central_1,668622
2021-02-01,GU_Central_1,767078
2021-03-01,GU_Central_1,751947
2021-04-01,GU_Central_1,791604
2021-05-01,GU_Central_1,655799
2021-06-01,GU_Central_1,397599
2021-07-01,GU_Central_1,314050
2021-08-01,GU_Central_1,361311
2021-09-01,GU_Central_1,463626
2021-10-01,GU_Central_1,699909
2021-11-01,GU_Central_1,509735
2021-12-01,GU_Central_1,728772
2022-01-01,GU_Central_1,803361
2022-02-01,GU_Central_1,760602
2022-03-01,GU_Central_1,829221
2022-04-01,GU_Central_1,706623
2022-05-01,GU_Central_1,570347
2022-06-01,GU_Central_1,470356
2022-07-01,GU_Central_1,347954
2022-08-01,GU_Central_1,410193
2022-09-01,GU_Central_1,457151
2022-10-01,GU_Central_1,563029
2022-11-01,GU_Central_1,725785
2022-12-01,GU_Central_1,746392
2023-01-01,GU_Central_1,678344
2023-02-01,GU_Central_1,1039269
2023-03-01,GU_Central_1,1019839
2023-04-01,GU_Central_1,931033
2023-05-01,GU_Central_1,682086
2023-06-01,GU_Central_1,459108
2023-07-01,GU_Central_1,534643
2023-08-01,GU_Central_1,448258
2023-09-01,GU_Central_1,534944
2023-10-01,GU_Central_1,628159
2023-11-01,GU_Central_1,881832
2023-12-01,GU_Central_1,835849
2024-01-01,GU_Central_1,963709
2024-02-01,GU_Central_1,1026768
2024-03-01,GU_Central_1,1114516
2024-04-01,GU_Central_1,940423
2024-05-01,GU_Central_1,860313
2024-06-01,GU_Central_1,599519
2024-07-01,GU_Central_1,472737
2024-08-01,GU_Central_1,539913
2024-09-01,GU_Central_1,545911
2024-10-01,GU_Central_1,736486
2024-11-01,GU_Central_1,1049167
2024-12-01,GU_Central_1,917898
2025-01-01,GU_Central_1,1115902
2025-02-01,GU_Central_1,1201797
2025-03-01,GU_Central_1,1360725
2025-04-01,GU_Central_1,1061266
2025-05-01,GU_Central_1,968942
2025-06-01,GU_Central_1,701456
2025-07-01,GU_Central_1,555282
2025-08-01,GU_Central_1,653373
2025-09-01,GU_Central_1,672161
2025-10-01,GU_Central_1,848561
2025-11-01,GU_Central_1,958886
2025-12-01,GU_Central_1,1030693
2015-01-01,GU_Central_2,342968
2015-02-01,GU_Central_2,376224
2015-03-01,GU_Central_2,370892
2015-04-01,GU_Central_2,360515
2015-05-01,GU_Central_2,293631
2015-06-01,GU_Central_2,280641
2015-07-01,GU_Central_2,190392
2015-08-01,GU_Central_2,199385
2015-09-01,GU_Central_2,225786
2015-10-01,GU_Central_2,301993
2015-11-01,GU_Central_2,339648
2015-12-01,GU_Central_2,307411
2016-01-01,GU_Central_2,432269
2016-02-01,GU_Central_2,434177
2016-03-01,GU_Central_2,484842
2016-04-01,GU_Central_2,430022
