date,iu_id,capacity_mt
2015-01-01,IU_Central_1,504203
2015-02-01,IU_Central_1,616134
2015-03-01,IU_Central_1,539060
2015-04-01,IU_Central_1,542049
2015-05-01,IU_Central_1,504509
2015-06-01,IU_Central_1,307019
2015-07-01,IU_Central_1,230181
2015-08-01,IU_Central_1,244159
2015-09-01,IU_Central_1,280777
2015-10-01,IU_Central_1,395147
2015-11-01,IU_Central_1,468658
2015-12-01,IU_Central_1,441250
2016-01-01,IU_Central_1,589115
2016-02-01,IU_Central_1,578267
2016-03-01,IU_Central_1,536847
2016-04-01,IU_Central_1,707535
2016-05-01,IU_Central_1,578269
2016-06-01,IU_Central_1,338058
2016-07-01,IU_Central_1,247846
2016-08-01,IU_Central_1,289368
2016-09-01,IU_Central_1,402683
2016-10-01,IU_Central_1,434585
2016-11-01,IU_Central_1,590638
2016-12-01,IU_Central_1,552503
2017-01-01,IU_Central_1,801713
2017-02-01,IU_Central_1,846508
2017-03-01,IU_Central_1,806064
2017-04-01,IU_Central_1,614171
2017-05-01,IU_Central_1,518145
2017-06-01,IU_Central_1,391716
2017-07-01,IU_Central_1,268842
2017-08-01,IU_Central_1,342767
2017-09-01,IU_Central_1,423481
2017-10-01,IU_Central_1,559138
2017-11-01,IU_Central_1,613843
2017-12-01,IU_Central_1,639108
2018-01-01,IU_Central_1,867412
2018-02-01,IU_Central_1,600776
2018-03-01,IU_Central_1,851485
2018-04-01,IU_Central_1,773963
2018-05-01,IU_Central_1,785667
2018-06-01,IU_Central_1,522406
2018-07-01,IU_Central_1,367723
2018-08-01,IU_Central_1,334184
2018-09-01,IU_Central_1,447844
2018-10-01,IU_Central_1,587163
2018-11-01,IU_Central_1,674082
2018-12-01,IU_Central_1,807708
2019-01-01,IU_Central_1,866543
2019-02-01,IU_Central_1,925434
2019-03-01,IU_Central_1,1047498
2019-04-01,IU_Central_1,711181
2019-05-01,IU_Central_1,770326
2019-06-01,IU_Central_1,498684
2019-07-01,IU_Central_1,359391
2019-08-01,IU_Central_1,372190
2019-09-01,IU_Central_1,497526
2019-10-01,IU_Central_1,616123
2019-11-01,IU_Central_1,669386
2019-12-01,IU_Central_1,926749
2020-01-01,IU_Central_1,826912
2020-02-01,IU_Central_1,991428
2020-03-01,IU_Central_1,1085801
2020-04-01,IU_Central_1,123679
2020-05-01,IU_Central_1,492456
2020-06-01,IU_Central_1,358876
2020-07-01,IU_Central_1,372453
2020-08-01,IU_Central_1,358670
2020-09-01,IU_Central_1,567777
