iu_id,gu_id,distance_km,rail_feasible,road_feasible
IU_Central_1,GU_Central_1,317,1,1
IU_Central_1,GU_Central_2,289,0,1
IU_Central_1,GU_Central_3,350,1,1
IU_Central_1,GU_East_1,1001,1,1
IU_Central_1,GU_East_2,502,1,1
IU_Central_1,GU_East_3,1387,1,1
IU_Central_1,GU_North_1,919,1,1
IU_Central_1,GU_North_2,1258,1,1
IU_Central_1,GU_North_3,573,1,1
IU_Central_1,GU_South_1,1404,1,1
IU_Central_1,GU_South_2,830,1,1
IU_Central_1,GU_South_3,1126,1,1
IU_Central_1,GU_West_1,1249,1,1
IU_Central_1,GU_West_2,1389,1,1
IU_Central_1,GU_West_3,1038,1,1
IU_Central_2,GU_Central_1,131,0,1
IU_Central_2,GU_Central_2,196,0,1
IU_Central_2,GU_Central_3,288,0,1
IU_Central_2,GU_East_1,811,1,1
IU_Central_2,GU_East_2,1335,1,1
IU_Central_2,GU_East_3,731,1,1
IU_Central_2,GU_North_1,1054,1,1
IU_Central_2,GU_North_2,440,1,1
IU_Central_2,GU_North_3,1358,1,1
IU_Central_2,GU_South_1,504,1,1
IU_Central_2,GU_South_2,601,1,1
IU_Central_2,GU_South_3,849,1,1
IU_Central_2,GU_West_1,1309,1,1
IU_Central_2,GU_West_2,609,1,1
IU_Central_2,GU_West_3,962,1,1
IU_Central_3,GU_Central_1,167,0,1
IU_Central_3,GU_Central_2,250,0,1
IU_Central_3,GU_Central_3,88,0,1
IU_Central_3,GU_East_1,1170,1,1
IU_Central_3,GU_East_2,853,1,1
IU_Central_3,GU_East_3,1066,1,1
IU_Central_3,GU_North_1,1028,1,1
IU_Central_3,GU_North_2,786,1,1
IU_Central_3,GU_North_3,695,1,1
IU_Central_3,GU_South_1,657,1,1
IU_Central_3,GU_South_2,667,1,1
IU_Central_3,GU_South_3,818,1,1
IU_Central_3,GU_West_1,634,1,1
IU_Central_3,GU_West_2,1385,1,1
IU_Central_3,GU_West_3,973,1,1
IU_East_1,GU_Central_1,448,1,1
IU_East_1,GU_Central_2,622,1,1
IU_East_1,GU_Central_3,1320,1,1
IU_East_1,GU_East_1,328,1,1
IU_East_1,GU_East_2,343,1,1
IU_East_1,GU_East_3,333,1,1
IU_East_1,GU_North_1,676,1,1
IU_East_1,GU_North_2,819,1,1
IU_East_1,GU_North_3,1010,1,1
IU_East_1,GU_South_1,774,1,1
IU_East_1,GU_South_2,472,1,1
IU_East_1,GU_South_3,1453,1,1
IU_East_1,GU_West_1,594,1,1
IU_East_1,GU_West_2,1246,1,1
IU_East_1,GU_West_3,1464,1,1
IU_East_2,GU_Central_1,1486,1,1
IU_East_2,GU_Central_2,422,1,1
IU_East_2,GU_Central_3,759,1,1
IU_East_2,GU_East_1,124,0,1
IU_East_2,GU_East_2,97,0,1
IU_East_2,GU_East_3,209,0,1
IU_East_2,GU_North_1,1078,1,1
IU_East_2,GU_North_2,839,1,1
IU_East_2,GU_North_3,1332,1,1
IU_East_2,GU_South_1,406,1,1
IU_East_2,GU_South_2,820,1,1
IU_East_2,GU_South_3,1232,1,1
IU_East_2,GU_West_1,958,1,1
IU_East_2,GU_West_2,1313,1,1
IU_East_2,GU_West_3,1406,1,1
IU_East_3,GU_Central_1,525,1,1
IU_East_3,GU_Central_2,794,1,1
IU_East_3,GU_Central_3,1216,1,1
IU_East_3,GU_East_1,343,1,1
IU_East_3,GU_East_2,113,0,1
IU_East_3,GU_East_3,374,1,1
IU_East_3,GU_North_1,1329,1,1
IU_East_3,GU_North_2,1232,1,1
IU_East_3,GU_North_3,1454,1,1
IU_East_3,GU_South_1,1236,1,1
IU_East_3,GU_South_2,1325,1,1
IU_East_3,GU_South_3,842,1,1
IU_East_3,GU_West_1,474,1,1
